thai sentence,thai phoneme
เนื่องจากนางอุษณียังมีอาการเศร้าโศกและเบลอจึงคุมตัวไว้ในห้องขังโดยให้ตำรวจหญิงคอยดูแลใกล้ชิด,n ɯːa3 ŋ c aː2 k _ n aː ŋ _ ʔ u2 _ s a2 n iː _ j a ŋ _ m iː _ ʔ aː k aː n _ s a3 w s oː2 k _ l ɛ4 _ bl ɤː _ c ɯ ŋ _ kʰ u m t uːa _ w a4 j _ n a j _ h ᴐː3 ŋ kʰ a5 ŋ _ d oː j _ h a3 j _ t a m r uːa2 t _ j i5 ŋ _ kʰ ᴐː j _ d uː l ɛː _ kl a3 j cʰ i4 t
ฆ่าเปลือยสาวโซนี่ที่แท้ฝีมือผัวจอมหึง,kʰ aː3 _ pl ɯːa j _ s aː5 w _ s oː n iː3 _ tʰ iː3 tʰ ɛː4 _ f iː5 m ɯː _ pʰ uːa5 _ c ᴐː m _ h ɯ5 ŋ
มอสอ้อมเติ้ลลิฟท์ได้ลูกกตัญญู,m ᴐː3 t _ ʔ ᴐː3 m _ t ɤː3 n _ l i4 p _ d aː3 j _ l uː3 k _ k a2 t a n j uː
ผู้สื่อข่าวได้ติดต่อขอสัมภาษณ์นักร้องคนดังมอสปฏิภาณเมื่อวันที่ยี่สิบหก,pʰ uː3 s ɯː2 kʰ aː2 w _ d aː3 j _ t i2 t t ᴐː2 _ kʰ ᴐː5 _ s a5 m pʰ aː3 t _ n a4 k r ᴐː4 ŋ _ kʰ o n _ d a ŋ _ m ᴐː3 t _ p a2 t i2 pʰ aː n _ m ɯːa3 _ w a n tʰ iː3 _ j iː3 _ s i2 p _ h o2 k
หกกรกฎาคมถึงความรู้สึกที่ได้รับรางวัลเกียรติยศดังกล่าวมอสเผย,h o2 k _ k a2 r a4 k a2 d aː kʰ o m _ tʰ ɯ5 ŋ _ kʰw aː m r uː4 s ɯ2 k _ tʰ iː3 _ d aː3 j r a4 p _ r aː ŋ w a n _ k iːa2 t t i2 j o4 t _ d a ŋ kl aː2 w _ m ᴐː3 t _ pʰ ɤː5 j
เป็นการแสดงบัลเลต์คลาสสิกของคณะบัลเลต์แห่งมอสโกในเรื่องดังก้องโลก,p e n _ k aː n _ s a2 d ɛː ŋ _ b a n l eː _ kʰl aː4 s s i2 k _ kʰ ᴐː5 ŋ _ kʰ a4 n a4 _ b a n l eː _ h ɛː2 ŋ _ m ᴐː3 t k oː _ n a j _ r ɯːa3 ŋ _ d a ŋ _ k ᴐː3 ŋ _ l oː3 k
โดยยกมือซ้ายขึ้นเหนือหัวคล้ายยอมจำนนแต่มือขวากลับซ่อนไว้ด้านหลัง,d oː j _ j o4 k _ m ɯː s aː4 j _ kʰ ɯ3 n _ n ɯːa5 _ h uːa5 _ kʰl aː4 j _ j ᴐː m c a m n o n _ t ɛː2 _ m ɯː kʰw aː5 _ kl a2 p _ s ᴐː3 n _ w a4 j _ d aː3 n l a5 ŋ
ระหว่างนั้นนายเปิ้ลกับนายโอ๋เกิดทะเลาะกันแย่งกันข่มขืนเป็นคนแรก,r a4 w aː2 ŋ _ n a4 n _ n aː j _ p ɤː3 n _ k a2 p _ n aː j _ ʔ oː5 _ k ɤː2 t _ tʰ a4 l ᴐ4 _ k a n _ j ɛː3 ŋ _ k a n _ kʰ o2 m kʰ ɯː5 n _ p e n _ kʰ o n _ r ɛː3 k
เหยื่อแอนแทร็กซ์รายแรกโผล่ปากี,j ɯːa2 _ ʔ ɛː n _ tʰ a4 r ɛ4 k _ r aː j _ r ɛː3 k _ pʰl oː2 _ p aː _ k iː
แต่ต้นข้าวขึ้นมาเพียงคืบก็แคระแกร็นยืนต้นตายจึงให้สาธารณสุขอำเภอมาตรวจวัด,t ɛː2 _ t o3 n _ kʰ aː3 w _ kʰ ɯ3 n _ m aː _ pʰ iːa ŋ _ kʰ ɯː3 p _ k ᴐː3 _ kʰr ɛ4 kr ɛ n _ j ɯː n t o3 n _ t aː j _ c ɯ ŋ _ h a3 j _ s aː5 tʰ aː r a4 n a4 s u2 k _ ʔ a m pʰ ɤː _ m aː _ tr uːa2 t w a4 t
ซูเคอร์หมุนตัววอลเลย์ด้วยเท้าขวาจากระยะแปดหลา,s uː _ kʰ ᴐː3 _ m u5 n t uːa _ w ᴐː n l eː _ d uːa3 j _ tʰ aː4 w _ kʰw aː5 _ c aː2 k _ r a4 j a4 _ p ɛː2 t _ l aː5
เจี๋ยนงบก่อสร้างกระทรวงศึกษาธิการทบวงทุ่มปฏิรูปการศึกษา,c iːa5 n _ ŋ o4 p _ k ᴐː2 s aː3 ŋ _ kr a2 s uːa ŋ s ɯ2 k s aː5 tʰ i4 k aː n _ tʰ a4 b uːa ŋ _ tʰ u3 m _ p a2 t i2 r uː3 p _ k aː n s ɯ2 k s aː5
ท่ามกลางความปลื้มปีติของแขกเหรื่อกว่าหนึ่งพันแปดร้อยคน,tʰ aː3 m kl aː ŋ _ kʰw aː m _ pl ɯː3 m p iː t i2 _ kʰ ᴐː5 ŋ _ kʰ ɛː2 k _ w aː3 _ n ɯ2 ŋ _ pʰ a n _ p ɛː2 t _ r ᴐː4 j _ kʰ o n
ซึ่งเป็นตึกแถวสามชั้นสามคูหาเปิดเป็นร้ายขายแก๊สเกาะทรายแก๊สสองห้อง,s ɯ3 ŋ _ p e n _ t ɯ2 k tʰ ɛː5 w _ s aː5 m cʰ a4 n _ s aː5 m _ kʰ uː h aː5 _ p ɤː2 t _ p e n _ r aː4 j _ kʰ aː5 j _ k ɛː4 t _ k ᴐ2 _ s aː j _ k ɛː4 t _ s ᴐː5 ŋ _ h ᴐː3 ŋ
กลางร้านมีเลือดกองใหญ่นองพื้นคราบเลือดสาดกระเซ็นเปรอะโต๊ะ,kl aː ŋ _ r aː4 n _ m iː _ l ɯːa3 t _ k ᴐː ŋ _ j a2 j _ n ᴐː ŋ _ pʰ ɯː4 n _ kʰr aː3 p l ɯːa3 t _ s aː2 t _ kr a2 s e n _ pr ɤ2 _ t o4
ปุกไม่มีอะไรจะเขียนแล้วอ๋อเหลืออีกอย่าง,p u2 k _ m a3 j _ m iː _ ʔ a2 r a j _ c a2 _ kʰ iːa5 n _ l ɛː4 w _ ʔ ᴐː5 _ l ɯːa5 _ ʔ iː2 k _ j aː2 ŋ
สภาพศพขึ้นอืดหนอนไต่ยั้วเยี้ยปะปนกับน้ำเหลืองไหลเยิ้ม,s a2 pʰ aː3 p _ s o2 p _ kʰ ɯ3 n ʔ ɯː2 t _ n ᴐː5 n _ t a2 j _ j uːa4 j iːa4 _ p a2 p o n _ k a2 p _ n aː4 m l ɯːa5 ŋ _ l a5 j _ j ɤː4 m
ปกติแล้วนายสมชายจะเข้ามาพักที่โรงแรมแห่งนี้เฉลี่ยประมาณสองถึงสามอาทิตย์ต่อครั้ง,p o2 k k a2 t i2 _ l ɛː4 w _ n aː j _ s o5 m _ cʰ aː j _ c a2 _ kʰ a3 w _ m aː _ pʰ a4 k _ tʰ iː3 _ r oː ŋ r ɛː m _ h ɛː2 ŋ _ n iː4 _ cʰ a2 l iːa2 _ pr a2 m aː n _ s ᴐː5 ŋ _ tʰ ɯ5 ŋ _ s aː5 m _ ʔ aː tʰ i4 t _ t ᴐː2 _ kʰr a4 ŋ
คุณกล้านรงค์เองนั่นแหละชัดเจนกว่านายประสิทธิ์มากมายเหลือเกิน,kʰ u n _ k ᴐː _ l aː4 n _ r o ŋ _ ʔ eː ŋ _ n a3 n l ɛ2 _ cʰ a4 t c eː n _ kw aː2 _ n aː j _ pr a2 s i2 t _ m aː3 k m aː j _ l ɯːa5 k ɤː n
ขอเงียบรอเคลียร์ปัญหาตัวเองให้เสร็จสิ้น,kʰ ᴐː5 _ ŋ iːa3 p _ r ᴐː _ kʰl iːa _ p a n h aː5 _ t uːa ʔ eː ŋ _ h a3 j _ s e2 t s i3 n
เข้าไปในตัวบ้านนายจันทร์และชายคนดังกล่าวก็ขลุกอยู่แต่ในบ้านทั้งวัน,kʰ a3 w _ p a j _ n a j _ t uːa _ b aː3 n _ n aː j _ c a n _ l ɛ4 _ cʰ aː j _ kʰ o n _ d a ŋ kl aː2 w _ k ᴐː3 _ kʰl u2 k _ j uː2 _ t ɛː2 _ n a j _ b aː3 n _ tʰ a4 ŋ _ w a n
จตุพลทอล์กโฉ่โต้พัลวันเปล่าหิ้วกามนักศึกษา,c a2 t u2 _ pʰ o n _ tʰ ᴐː3 k _ cʰ oː2 _ t oː3 _ pʰ a n l a4 w a n _ pl a2 w _ h i3 w _ k aː m _ n a4 k s ɯ2 k s aː5
บ้านของนายจตุพลชมภูนิชตั้งอยู่สุดซอยชมภูนิชเกือบติดถนนประดิษฐมนูธรรมเป็นบ้านเดี่ยวทรงยุโรปสูง,b aː3 n _ kʰ ᴐː5 ŋ _ n aː j _ c a2 t u2 _ pʰ o n _ cʰ o m _ pʰ uː _ n i4 t _ t a3 ŋ _ j uː2 _ s u2 t _ s ᴐː j _ cʰ o m _ pʰ uː _ n i4 t _ k ɯːa2 p _ t i2 t _ tʰ a2 n o5 n _ pr a2 d i2 t _ m a4 n uː _ tʰ a m _ p e n _ b aː3 n _ d iːa2 w _ s o ŋ _ j u4 r oː3 p _ s uː5 ŋ
ฆ่าสองศพปมคลี่หนึ่งในสองมีคดีเสพมุ่งย้อนมั่วแก๊ง,kʰ aː3 _ s ᴐː5 ŋ _ s o2 p _ p o m _ kʰl iː3 _ n ɯ2 ŋ _ n a j _ s ᴐː5 ŋ _ m iː _ kʰ a4 d iː _ s eː2 p _ m u3 ŋ _ j ᴐː4 n _ m uːa3 _ k ɛː4 ŋ
กล่าวว่าเพลี้ยแป้งเริ่มระบาดตั้งแต่เดือนมีนาคมทำความเสียหายให้สวนเงาะไปแล้วกว่าห้าร้อยไร่,kl aː2 w _ w aː3 _ pʰl iːa4 p ɛː3 ŋ _ r ɤː3 m _ r a4 b aː2 t _ t a3 ŋ t ɛː2 _ d ɯːa n m iː n aː kʰ o m _ tʰ a m _ kʰw aː m s iːa5 h aː5 j _ h a3 j _ s uːa5 n _ ŋ ᴐ4 _ p a j _ l ɛː4 w _ kw aː2 _ h aː3 _ r ᴐː4 j _ r a3 j
ทั้งคู่คลุมหมวกไหมพรมปิดบังใบหน้า,tʰ a4 ŋ kʰ uː3 _ kʰl u m _ m uːa2 k _ m a5 j pʰr o m _ p i2 t b a ŋ _ b a j n aː3
มอสแคททูตต่อต้านยา,m ᴐː3 t _ kʰ ɛː3 t _ tʰ uː3 t _ t ᴐː2 t aː3 n _ j aː
เชื่อว่าระบบควบคุมเงินทุนและระบบอัตราแลกเปลี่ยนของมาเลเซียจะไม่ล้มง่ายง่าย,cʰ ɯːa3 _ w aː3 _ r a4 b o2 p _ kʰ uːa3 p kʰ u m _ ŋ ɤ n tʰ u n _ l ɛ4 _ r a4 b o2 p _ ʔ a2 t tr a l ɛː3 k pl iːa2 n _ kʰ ᴐː5 ŋ _ m aː l eː s iːa _ c a2 _ m a3 j _ l o4 m _ ŋ aː3 j _ ŋ aː3 j
โดยเฉพาะต้นต๋าวหรือชิดนี้กว่าจะออกดอกให้ผลก็ใช้เวลาแปดถึงสิบสองปี,d oː j cʰ a2 pʰ ᴐ4 _ t o3 n _ t aː5 w _ r ɯː5 _ cʰ i4 t _ n iː4 _ kw aː2 _ c a2 _ ʔ ᴐː2 k d ᴐː2 k _ h a3 j _ pʰ o5 n _ k ᴐː3 _ cʰ a4 j _ w eː l aː _ p ɛː2 t _ tʰ ɯ5 ŋ _ s i2 p _ s ᴐː5 ŋ _ p iː
จะใช้ความเก่งและกร้าวในการแก้ปัญหาไม่ได้,c a2 _ cʰ a4 j _ kʰw aː m _ k eː2 ŋ _ l ɛ4 _ kr aː3 w _ n a j _ k aː n _ k ɛː3 p a n h aː5 _ m a3 j d aː3 j
สันต์สั่งตำรวจเงี่ยหูฟัง,s a5 n _ s a2 ŋ _ t a m r uːa2 t _ ŋ iːa3 h uː5 f a ŋ
พลตรีสพรั่งกัลยาณมิตรรองแม่ทัพน้อยสามเป็นรองแม่ทัพภาคสาม,pʰ o n tr iː _ s a2 pʰr a3 ŋ _ k a n l a4 j aː n a4 m i4 t _ r ᴐː ŋ _ m ɛː3 tʰ a4 p _ n ᴐː4 j _ s aː5 m _ p e n r ᴐː ŋ _ m ɛː3 tʰ a4 p _ pʰ aː3 k _ s aː5 m
เห่อออกนอกหน้าหุ้นรัฐวิสาหกิจ,h ɤː2 _ ʔ ᴐː2 k n ᴐː3 k n aː3 _ h u3 n _ r a4 t w i4 s aː5 h a2 k i2 t
ผู้ร่ำรวยลำดับที่ห้าคือดุคย์แห่งเอดินเบอระ,pʰ uː3 _ r a3 m r uːa j _ l a m d a2 p _ tʰ iː3 _ h aː3 _ kʰ ɯː _ d u2 k _ h ɛː2 ŋ _ ʔ eː _ d i n _ b ɤː r a4
โดยใช้ยาสีฟันที่มีส่วนผสมฟลูออไรด์ประมาณหนึ่งนิ้วบนแปรงสีฟันที่มีขนแปรงนุ่ม,d oː j _ cʰ a4 j _ j aː s iː5 f a n _ tʰ iː3 _ m iː _ s uːa2 n pʰ a2 s o5 m _ fl uː ʔ ᴐː r a j _ pr a2 m aː n _ n ɯ2 ŋ _ n i4 w _ b o n _ pr ɛː ŋ s iː5 f a n _ tʰ iː3 _ m iː _ kʰ o5 n _ pr ɛː ŋ _ n u3 m
พอเด็กเริ่มโตประมาณหนึ่งขวบจึงควรแปรงฟันด้วยยาสีฟันและเคลือบฟลูออไรด์ทุกทุกหกเดือน,pʰ ᴐː _ d e2 k _ r ɤː3 m _ t oː _ pr a2 m aː n _ n ɯ2 ŋ _ kʰ uːa2 p _ c ɯ ŋ _ kʰ uːa n _ pr ɛː ŋ f a n _ d uːa3 j _ j aː s iː5 f a n _ l ɛ4 _ kʰl ɯːa3 p _ fl uː ʔ ᴐː r a j _ tʰ u4 k _ tʰ u4 k _ h o2 k _ d ɯːa n
เพราะเมื่อสภาได้ส่งเอกสารเป็นต้นฉบับร่างกฏหมายปรับปรุงกระทรวงทบวงกรมตัวจริงไม่ใช่แฟ็กซ์หรือสำเนา,pʰr ᴐ4 _ m ɯːa3 _ s a2 pʰ aː _ d aː3 j _ s o2 ŋ _ ʔ eː2 k k a2 s aː5 n _ p e n t o3 n _ cʰ a2 b a2 p r aː3 ŋ _ k o2 t m aː5 j _ pr a2 p pr u ŋ _ kr a2 s uːa ŋ _ tʰ a4 b uːa ŋ _ kr o m _ t uːa _ c i ŋ _ m a3 j cʰ a3 j _ f ɛ4 k _ r ɯː5 _ s a5 m n a w
จากนั้นจะเร่งเทแอสฟัสต์และตีเส้นพื้นผิวการจราจรฝั่งวังสระปทุมทั้งสามช่องจราจร,c aː2 k n a4 n _ c a2 _ r eː3 ŋ _ tʰ eː _ ʔ ɛː2 t _ f a4 t _ l ɛ4 _ t iː s eː3 n _ pʰ ɯː4 n pʰ i5 w _ k aː n c a2 r aː c ᴐː n _ f a2 ŋ _ w a ŋ _ s a2 _ p a2 tʰ u m _ tʰ a4 ŋ _ s aː5 m _ cʰ ᴐː3 ŋ _ c a2 r aː c ᴐː n
โดยแมลงชนิดนี้มักอยู่ตามต้นถั่วต้นฝ้ายปอแก้วเป็นแมลงปีกแข็งลำตัวยาวประมาณสองจุดเจ็ดเซนติเมตรกว้างหนึ่งเซนติเมตร,d oː j _ m a4 l ɛː ŋ _ cʰ a4 n i4 t _ n iː4 _ m a4 k _ j uː2 _ t aː m _ t o3 n _ tʰ uːa2 _ t o3 n _ f aː3 j _ p ᴐː k ɛː3 w _ p e n _ m a4 l ɛː ŋ p iː2 k kʰ ɛ5 ŋ _ l a m t uːa _ j aː w _ pr a2 m aː n _ s ᴐː5 ŋ _ c u2 t _ c e2 t _ s eː n t i2 m eː4 t _ kw aː3 ŋ _ n ɯ2 ŋ _ s eː n t i2 m eː4 t
วันที่ยี่สิบห้ากันยายนว่ามีเหตุฆ่ากันตายในร้านข้าวต้มคาราโอเกะเจ๊นุ้ยไม่มีเลขที่,w a n tʰ iː3 _ j iː3 _ s i2 p _ h aː3 _ k a n j aː j o n _ w aː3 _ m iː _ h eː2 t _ kʰ aː3 _ k a n _ t aː j _ n a j _ r aː4 n _ kʰ aː3 w t o3 m _ kʰ aː r aː ʔ oː k e2 _ c eː4 _ n u4 j _ m a3 j _ m iː _ l eː3 k tʰ iː3
เปรตกู้รอดคุกขู่แฉคนบงการ,pr eː2 t _ k uː3 _ r ᴐː3 t _ kʰ u4 k _ kʰ uː2 _ cʰ ɛː5 _ kʰ o n _ b o ŋ k aː n
นอกจากนี้จำเลยยังใช้เท้าเหยียบที่ฐานพระพุทธรูปและรูปปั้นหลวงปู่แหวน,n ᴐː3 k c aː2 k n iː4 _ c a m l ɤː j _ j a ŋ _ cʰ a4 j _ tʰ aː4 w _ j iːa2 p _ tʰ iː3 _ tʰ aː5 n _ pʰr a4 pʰ u4 t tʰ a4 r uː3 p _ l ɛ4 _ r uː3 p p a3 n _ l uːa5 ŋ _ p uː2 _ w ɛː5 n
และฟ้าร้องคำรามนานเกือบสิบนาทีจู่จู่ฟ้าก็ผ่าเปรี้ยงลงมาดังสนั่นหวั่นไหวสายไฟฟ้าแรงสูงขาดกระจุยสามเส้น,l ɛ4 _ f aː4 r ᴐː4 ŋ _ kʰ a m r aː m _ n aː n _ k ɯːa2 p _ s i2 p _ n aː tʰ iː _ c uː2 _ c uː2 _ f aː4 _ k ᴐː3 _ pʰ aː2 _ pr iːa3 ŋ _ l o ŋ _ m aː _ d a ŋ _ s a2 n a2 n w a2 n w a5 j _ s aː5 j f a j f aː4 r ɛː ŋ s uː5 ŋ _ kʰ aː2 t _ kr a2 c u j _ s aː5 m _ s eː3 n
พ่อออกไปกับคนแจวเรือจ้างทุกคืนพอตามไปดูก็เจออยู่กับเมียแหม่มเป็นฝรั่งผมทอง,pʰ ᴐː3 _ ʔ ᴐː2 k _ p a j _ k a2 p _ kʰ o n c ɛː w r ɯːa _ c aː3 ŋ _ tʰ u4 k _ kʰ ɯː n _ pʰ ᴐː _ t aː m _ p a j _ d uː _ k ᴐː3 _ c ɤː _ j uː2 _ k a2 p _ m iːa _ m ɛː2 m _ p e n _ f a2 r a2 ŋ _ pʰ o5 m _ tʰ ᴐː ŋ
โดยตัวถังด้านข้างซ้ายตรงชายน้ำติดสเกิร์ตหายไป,d oː j _ t uːa tʰ a5 ŋ _ d aː3 n kʰ aː3 ŋ _ s aː4 j _ tr o ŋ _ cʰ aː j n aː4 m _ t i2 t _ s a2 k ɤː2 t _ h aː5 j _ p a j
ให้การสนับสนุนออกแววเพลี่ยงพล้ำตั้งแต่เริ่มต้นเมื่อพลาดท่าไม่สามารถทำให้,h a3 j k aː n _ s a2 n a2 p s a2 n u5 n _ ʔ ᴐː2 k _ w ɛː w _ pʰl iːa3 ŋ pʰl a4 m _ t a3 ŋ t ɛː2 _ r ɤː3 m t o3 n _ m ɯːa3 _ pʰl aː3 t tʰ aː3 _ m a3 j _ s aː5 m aː3 t _ tʰ a m h a3 j
ซึ่งทั้งคู่มีท่าทางพิรุธตัวสั่นตื่นเต้นผิดปกติ,s ɯ3 ŋ _ tʰ a4 ŋ kʰ uː3 _ m iː _ tʰ aː3 tʰ aː ŋ _ pʰ i4 r u4 t _ t uːa _ s a2 n _ t ɯː2 n t eː3 n _ pʰ i2 t p o2 k k a2 t i2
ซึ่งอุทกภัยที่เกิดขึ้นถูกระบุสาเหตุส่วนใหญ่เป็นผลมาจากการเปลี่ยนแปลงของสภาวะอากาศอาทิฝนตกหนัก,s ɯ3 ŋ _ ʔ u2 tʰ o4 k k a2 pʰ a j _ tʰ iː3 _ k ɤː2 t _ kʰ ɯ3 n _ tʰ uː2 k _ r a4 b u2 _ s aː5 h eː2 t _ s uːa2 n j a2 j _ p e n _ pʰ o5 n _ m aː _ c aː2 k _ k aː n _ pl iːa2 n pl ɛː ŋ _ kʰ ᴐː5 ŋ _ s a2 pʰ aː w a4 _ ʔ aː k aː2 t _ ʔ aː tʰ i4 _ f o5 n t o2 k _ n a2 k
โดยขอเคลื่อนย้ายโคกระบือโดยสัตว์ทั้งหมดไปกักกันที่ปลายทางตามกฏหมาย,d oː j _ kʰ ᴐː5 _ kʰl ɯːa3 n j aː4 j _ kʰ oː kr a2 b ɯː _ d oː j _ s a2 t _ tʰ a4 ŋ m o2 t _ p a j _ k a2 k k a n _ tʰ iː3 _ pl aː j tʰ aː ŋ _ t aː m _ k o2 t m aː5 j
ชื่อจ่าสิบตรีชาญชัยมิตรเมี้ยนอายุสามสิบปีเป็นตำรวจสายสืบสถานีตำรวจภูธรอำเภอละหานทราย,cʰ ɯː3 _ c aː2 _ s i2 p tr iː _ cʰ aː n _ cʰ a j _ m i4 t _ m iːa4 n _ ʔ aː j u4 _ s aː5 m _ s i2 p _ p iː _ p e n _ t a m r uːa2 t _ s aː5 j s ɯː2 p _ s a2 tʰ aː5 n iː _ t a m r uːa2 t pʰ uː tʰ ᴐː n _ ʔ a m pʰ ɤː _ l a4 h aː5 n _ s aː j
ตื่นเต้นอาทิตย์ทรงกลด,t ɯː2 n t eː3 n _ ʔ aː tʰ i4 t _ s o ŋ kl o2 t
และกว่าสองพันสี่ร้อยล้านหุ้นในตลาดแนสแด็กส์,l ɛ4 _ kw aː2 _ s ᴐː5 ŋ _ pʰ a n _ s iː2 _ r ᴐː4 j _ l aː4 n _ h u3 n _ n a j _ t a2 l aː2 t _ n ɛː3 t _ d ɛ2 k
เป็นผลมาจากการแกว่งตัวผันผวนของดอลลาร์ซึ่งทำให้เกิดความไม่แน่ใจมากขึ้นในหมู่เทรดเดอร์,p e n _ pʰ o5 n _ m aː _ c aː2 k _ k aː n _ kw ɛː2 ŋ _ t uːa _ pʰ a5 n pʰ uːa5 n _ kʰ ᴐː5 ŋ _ d ᴐː n l aː _ s ɯ3 ŋ _ tʰ a m h a3 j _ k ɤː2 t _ kʰw aː m _ m a3 j _ n ɛː3 c a j _ m aː3 k _ kʰ ɯ3 n _ n a j _ m uː2 _ tʰr eː3 t d ɤː
หรือแอบลอกข้อสอบเพื่อนตื่นเต้นเหมือนได้กลับไปสู่วัยรุ่นอีกครั้ง,r ɯː5 _ ʔ ɛː2 p _ l ᴐː3 k _ kʰ ᴐː3 s ᴐː2 p _ pʰ ɯːa3 n _ t ɯː2 n t eː3 n _ m ɯːa5 n _ d aː3 j _ kl a2 p _ p a j _ s uː2 _ w a j r u3 n _ ʔ iː2 k _ kʰr a4 ŋ
นักท่องเที่ยวชาวญี่ปุ่นใช้สายไฟฟ้าปลั๊กสามตาผูกคอแขวนกับโคมไฟหัวเตียงนอน,n a4 k tʰ ᴐː3 ŋ tʰ iːa3 w _ cʰ aː w j iː3 p u2 n _ cʰ a4 j _ s aː5 j f a j f aː4 _ pl a4 k _ s aː5 m t aː _ pʰ uː2 k _ kʰ ᴐː _ kʰw ɛː5 n _ k a2 p _ kʰ oː m f a j _ h uːa5 _ t iːa ŋ n ᴐː n
ประสานสิงคโปร์ลุยหาตัวเจ๊แอ๊ดแม่เล้า,pr a2 s aː5 n _ s i5 ŋ kʰ a4 p oː _ l u j _ h aː5 _ t uːa _ c eː4 _ ʔ ɛː4 t _ m ɛː3 l a4 w
ต้องการแย่งชิงเก้าอี้ผู้นำท้องถิ่นของผู้ตายแต่พบกับความผิดหวังพลาดท่ามาตลอด,t ᴐː3 ŋ k aː n _ j ɛː3 ŋ cʰ i ŋ _ k a3 w ʔ iː3 _ pʰ uː3 n a m _ tʰ ᴐː4 ŋ tʰ i2 n _ kʰ ᴐː5 ŋ _ pʰ uː3 t aː j _ t ɛː2 _ pʰ o4 p _ k a2 p _ kʰw aː m _ pʰ i2 t w a5 ŋ _ pʰl aː3 t tʰ aː3 _ m aː _ t a2 l ᴐː2 t
